,city,lat,lon,temp,cloud,wind speed,humidity,country
360,nanakuli,21.3906,-158.1547,31.22,1,4.12,50,US
361,hervey bay,-25.2986,152.8535,21.68,99,5.79,59,AU
362,ancud,-41.8697,-73.8203,9.74,77,1.57,86,CL
363,namibe,-15.1961,12.1522,17.16,61,0.76,88,AO
364,temir,49.1414,57.13,10.19,94,3.83,72,KZ
365,cabra,37.4725,-4.4421,18.49,67,1.06,52,ES
366,kamenka,51.3223,42.7678,8.16,100,3.97,88,RU
367,klyuchi,52.2667,79.1667,2.56,100,3.67,71,RU
368,poltavka,54.3663,71.7632,4.12,100,6.89,67,RU
369,san patricio,28.017,-97.5169,28.09,77,5.31,66,US
370,coronado,32.6859,-117.1831,18.83,90,4.12,83,US
371,chaozhou,23.6651,116.6379,26.65,0,0.52,73,CN
372,college,64.8569,-147.8028,2.56,75,0.0,67,US
373,hovd,48.0056,91.6419,-1.54,85,0.82,42,MN
374,mpanda,-6.3655,31.0409,24.26,88,2.0,42,TZ
375,oxapampa,-10.5775,-75.4017,16.71,61,1.28,84,PE
376,daru,-9.0763,143.2092,27.09,81,6.47,77,PG
377,santa ines,-3.6667,-45.38,25.71,34,2.35,70,BR
378,tual,-5.6667,132.75,27.27,33,6.45,82,ID
379,roebourne,-20.7833,117.1333,23.95,97,4.84,25,AU
380,haysville,37.5645,-97.3523,30.75,1,1.34,34,US
381,yuksekova,37.5736,44.2872,8.73,0,1.36,42,TR
382,leo,11.1,-2.1,24.23,79,2.99,73,BF
383,nador,35.174,-2.9287,18.14,0,1.54,94,MA
384,vila praia de ancora,41.811,-8.8526,16.1,98,4.28,80,PT
385,surt,31.2089,16.5887,23.0,49,2.68,68,LY
386,izhma,65.0083,53.9113,3.97,100,1.94,73,RU
387,sombrio,-29.1139,-49.6167,22.19,0,1.58,93,BR
388,greytown,-29.0642,30.5928,15.08,43,1.45,61,ZA
389,havre-saint-pierre,50.2334,-63.5986,9.34,3,3.56,90,CA
390,pogar,52.554,33.2591,5.07,26,2.96,95,RU
391,ulladulla,-35.35,150.4667,19.49,45,3.83,53,AU
392,sitka,57.0531,-135.33,9.94,90,5.66,87,US
393,bokhan,53.153,103.7714,0.32,79,3.8,89,RU
394,andros town,24.7,-77.7667,27.98,0,5.82,63,BS
395,port shepstone,-30.7414,30.455,20.6,76,9.78,74,ZA
396,birao,10.2849,22.7882,22.28,96,1.85,87,CF
397,vao,-22.6667,167.4833,20.1,21,3.99,71,NC
398,la union,-5.4,-80.75,21.34,21,7.43,64,PE
399,vanimo,-2.6741,141.3028,29.49,89,3.25,66,PG
400,igarka,67.4667,86.5833,-0.83,85,1.21,68,RU
401,mehamn,71.0357,27.8492,11.47,93,4.03,77,NO
402,avanca,40.8077,-8.5722,16.6,87,2.87,86,PT
403,touros,-5.1989,-35.4608,25.16,32,7.59,84,BR
404,belyy yar,53.6039,91.3903,-4.06,0,1.0,93,RU
405,shizunai,42.3339,142.3669,17.25,99,5.09,73,JP
406,bethanien,-26.502,17.1583,13.02,0,1.76,75,NA
407,constitucion,-35.3333,-72.4167,11.37,0,4.38,67,CL
408,caravelas,-17.7125,-39.2481,22.66,69,2.98,83,BR
409,namatanai,-3.6667,152.4333,29.43,68,1.96,67,PG
410,lasa,46.6166,10.7002,12.06,45,2.36,78,IT
411,bukama,-9.2,25.85,21.97,100,2.06,85,CD
412,bradford,53.7939,-1.7521,9.96,0,2.06,77,GB
413,zhezkazgan,47.8043,67.7144,12.28,81,5.43,80,KZ
414,margate,51.3813,1.3862,11.65,3,0.45,80,GB
415,chunskiy,56.0815,99.6342,0.86,100,2.93,97,RU
416,samarai,-10.6167,150.6667,26.56,89,5.74,83,PG
417,novobelokatay,55.7062,58.9549,2.01,84,7.51,72,RU
418,okhotsk,59.3833,143.3,8.24,100,3.44,84,RU
419,nuuk,64.1835,-51.7216,0.34,0,5.14,51,GL
420,guerrero negro,27.9769,-114.0611,21.71,8,7.29,65,MX
421,dudinka,69.4058,86.1778,-0.72,77,1.83,71,RU
422,northam,51.0333,-4.2167,11.16,48,4.96,89,GB
423,coihaique,-45.5752,-72.0662,5.97,75,1.54,70,CL
424,zarinsk,53.7074,84.9493,-1.22,25,2.78,93,RU
425,mongoumba,3.6415,18.5936,21.29,98,1.24,96,CF
